,layers,lr,hidden_1,hidden_2,hidden_3,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc
0,2,0.001,200,200,,2.093960295,56.02660743,0.019503415,29.61,0.019345425,29.51
1,2,0.001,500,500,,0.847147483,81.46340855,0.022930746,29.08,,
2,2,0.001,1000,1000,,0.198483008,95.93525359,0.028141791,28.06,,
3,2,0.001,1500,1500,,0.066697636,98.7108127,0.030516075,28.51,,
4,2,0.001,3500,3500,,0.021084016,99.4920627,0.032218223,28.77,,
5,2,0.001,1000,1500,,0.116244873,97.67996206,0.029714816,27.98,,
6,2,0.001,100,100,,3.111571423,40.28429513,0.018964279,27.62,,
7,2,0.001,100,200,,2.688674026,45.42107628,0.019049047,28.4,,
8,2,0.001,200,100,,2.562588373,48.62844449,0.018851194,28.84,,
9,2,0.001,200,500,,1.545970579,66.11296925,0.020892567,28.59,,
10,2,0.001,500,200,,1.346657234,71.01138179,0.020923288,29.25,,
11,2,0.01,200,200,,2.246019815,49.78409545,0.032545108,18.34,,
12,2,0.01,500,500,,2.07295181,53.49191294,0.035490464,16.22,,
13,2,0.01,1000,1000,,2.507535105,46.68779952,0.033531261,13.31,,
14,2,0.01,1500,1500,,2.561859175,46.59544728,0.034367978,13.92,,
15,2,0.01,3500,3500,,3.469347743,34.18280751,0.030623775,12.24,,
16,2,0.01,1000,1500,,2.815798229,41.93415535,0.031663214,13.93,,
17,2,0.0001,200,200,,5.532417104,10.8975639,0.022692143,10.35,,
18,2,0.0001,500,500,,4.918245802,19.55121805,0.020801365,18.05,,
19,2,0.0001,1000,1000,,4.172772986,29.14961062,0.018937489,24.49,,
20,2,0.0001,1500,1500,,3.720747254,34.02805511,0.018239495,26.66,,
21,2,0.0001,3500,3500,,2.651678051,47.01852037,0.01778982,29.85,0.017796092,29.7
22,2,0.0001,1000,1500,,3.937384418,31.47339257,0.018576403,25.66,,
23,3,0.01,200,200,200,6.005892222,24.90140775,0.029574637,12.7,,
24,3,0.01,500,500,500,6.170206673,22.69868211,0.029982071,9.86,,
25,3,0.01,1000,1000,1000,6.290035805,19.32158546,0.029581805,8.54,,
26,3,0.01,1000,1500,1500,6.285479025,21.14242212,0.029288949,10.88,,
27,3,0.01,1500,1500,1500,6.764853397,15.24186302,0.029935428,8.31,,
28,3,0.01,3500,3500,3500,6.238740309,18.4379992,0.029707926,8.46,,
29,3,0.0001,200,200,200,6.779000985,8.210613019,0.02768257,7.32,,
30,3,0.0001,500,500,500,6.423886036,14.74266174,0.02688855,12.34,,
31,3,0.0001,1000,1000,1000,6.447759558,16.33511382,0.029219012,9.83,,
32,3,0.0001,1000,1500,1500,5.633427071,27.37619808,0.026787812,17.47,,
33,3,0.0001,1500,1500,1500,5.520825554,28.34340056,0.027472398,14.84,,
34,3,0.0001,3500,3500,3500,5.459581017,32.56913938,0.029283785,12.78,,
35,3,0.001,200,200,200,6.175203168,24.03279752,0.029822212,11.83,,
36,3,0.001,500,500,500,5.2313615,35.72908347,0.029887089,14.61,,
37,3,0.001,1000,1000,1000,6.244649372,23.51113219,0.030256385,10.12,,
38,3,0.001,1000,1500,1500,5.928148308,27.38618211,0.029660809,13.38,,
39,3,0.001,1500,1500,1500,5.922200264,27.48103035,0.029623419,12.94,,
40,3,0.001,3500,3500,3500,5.606231089,31.33611222,0.028785881,16,,
